round,table_number,player_1,player_1_score,player_2,player_2_score
14,26,Natalie Zolty,GBR,434,-
14,27,Pesol Kosalakood,THA,274,-
14,28,Vannitha Balasingam,MYS,527,-
14,29,Sherwin Rodrigues,IND,323,-
14,30,Michael Gongolo,KEN,440,-
14,31,Marlon Prudencio,SGP,472,-
14,32,Odette Rio,PHL,484,-
14,33,Samson Okosagah,USA,422,-
14,34,Anthony Ikolo,NGA,436,-
14,35,CharnwitI Iamudom,THA,453,-
14,36,Chock Heng Kong,MYS,405,-
14,37,Charae Worapotpisut,THA,354,-
14,38,Ishika Shivalingaiah,IND,424,-
14,39,Nuti Suri,THA,519,-
14,40,Siddharth Nithyanand,IND,349,-
14,41,Jack Moran,GBR,468,-
14,42,Thitipol Barameemuang,THA,403,-
14,43,Sanjoy Gupta,IND,445,-
14,44,Apirat Choomai,THA,570,-
15,1,Dave Wiegand,USA,436,-
15,2,Napat Vatjaranurathorn,THA,436,-
15,3,David Eldar,AUS,506,-
15,4,Josh Watt,AUS,507,-
15,5,Akshay Bhandarkar,IND,347,-
15,6,Ricky Purnomo,SGP,380,-
15,7,Andrew Fisher,AUS,439,-
15,8,Nigel Richards,NZL,414,-
15,9,Thacha Koowirat,THA,516,-
15,10,Vannitha Balasingam,MYS,394,-
15,11,Charles Carneiro,IND,450,-
15,12,Chaiyottha Manachaisit,THA,507,-
